,movietitle,harmful,certificate,distributorstürk,keywordscontentspoint,CompanyNamesAverage,directorpoint,CastPuan,producerpoint,distributorspoint,GenreesPoint,Label,Harmful Number,CertificateEncoded,Label Yeni
423,Iki Yalanci,[],0,[],0.0,0.7047160846417547,-0.13657030965285488,-0.7255193090148266,0.0,0.0,4.597631851592044,1,0,0,1
424,Bayanlar baylar,[],0,['Kanal D            (2002) (Turkey) (TV)'],0.2362617485698921,1.166717853661873,-0.12190077657818575,1.1741130894864529,0.35744134837165364,6.598579112863242,4.597631851592044,1,0,0,1
425,Besibiryerde,[],0,['Show TV            (2002) (Turkey) (TV)'],0.0,0.0,-0.11805790943738825,-0.6312936318936413,0.0,4.520790955211873,4.597631851592044,1,0,0,1
426,Sevgili dünürüm,[],0,['Star TV            (2007) (Turkey) (TV)'],0.0,3.7987776268105753,3.8926465919041,1.4428790521358092,0.9712904987278184,5.956818276932419,4.597631851592044,1,0,0,2
427,Hayat Sevince Güzel,[],0,['Fox TV            (2016) (Turkey) (TV)'],4.193375273595012,2.262483007066662,-0.08953697038952013,-1.0995607367311098,2.506327941627781,1.862724399251212,4.597631851592044,1,0,0,2
428,Lightning within the house,[],0,['Medyapim            (1993) (Turkey) (TV)'],0.0,3.2206258460776915,-0.0528216599159056,-0.7580795922835266,0.8581405989838878,-0.7961462799852419,7.87990043884354,1,0,0,1
429,Yüzyillik Mühür,[],0,[],0.0,0.0,-0.0528216599159056,1.1778463233658232,0.0,0.0,4.826261676171197,1,0,0,2
430,Hatirla Gönül,[],0,['Star TV            (2015) (Turkey) (TV)'],0.4878588519701894,0.4586016819300557,-0.036930895484464384,1.190675418529928,0.3789696431450582,5.956818276932419,7.87990043884354,1,0,0,2
431,Dayi,[],0,['Kanal D            (2004) (Turkey) (TV)'],0.0,1.166717853661873,-0.02020017192374124,1.0851364375977393,0.0,6.598579112863242,4.597631851592044,1,0,0,2
432,Nuri,[],0,['Kanal D            (2011) (Turkey) (TV)'],0.0,0.0,-0.02020017192374124,1.060479082282341,2.1886299817726247,6.598579112863242,4.597631851592044,1,0,0,1
433,Türk'ün Uzayla Imtihani,[],0,['Show TV            (2012) (Turkey) (TV)'],0.0,3.1038265814848702,-0.02020017192374124,-0.8191967992412965,0.0,4.520790955211873,3.5278836022273645,1,0,0,1
434,N'olur Ayrilalim,[],0,"['Fox Network            (2016) (Turkey) (TV)', 'Fox TV            (2016) (Turkey) (TV)']",0.0,2.0374908093777546,-0.00967138935978462,-1.2135460609399091,0.467058804683329,2.0156710602414982,4.0974473255693455,1,0,0,1
435,Altindagli,[],0,['Show TV            (2013) (Turkey) (TV)'],0.0,3.1038265814848702,0.0,-1.1511355458679255,2.0607015494105334,4.520790955211873,7.87990043884354,1,0,0,1
436,Hayal ve gerçek,[],0,['ATV            (2007) (Turkey) (TV)'],0.0,3.1038265814848702,0.0,-1.3054734486946415,1.1351371106505057,4.5762750674517205,4.347539588580695,1,0,0,1
437,Eksi 18,[],0,['Kanal 7            (2006) (Turkey) (TV)'],0.0,0.0,0.0,-0.5248449189447257,0.0,-0.8750657928019857,4.519302228831166,1,0,0,1
438,Mayis Kraliçesi,[],0,['Show TV            (2015) (Turkey) (TV)'],-0.15969549981196984,1.7360943194505014,0.0,-1.0653525753557216,0.9284282352304141,4.520790955211873,7.87990043884354,1,0,0,2
439,Kirmizi isik,[],0,['Turkish Radio & Television (TRT)            (2008) (Turkey) (TV)'],0.0,0.5647351302783928,0.0,1.0823098423970607,0.0,3.4153287655246443,7.87990043884354,1,0,0,1
440,Sultan,[],0,['Star TV            (2001) (Turkey) (TV)'],0.0,0.0,0.0,-1.2145380328670794,0.0,5.956818276932419,7.87990043884354,1,0,0,1
441,Yadigar,[],0,[],0.0,0.0023187603381097602,-0.13889381577937676,0.9111290792657012,-0.6022685448318791,0.0,7.87990043884354,1,0,0,2
442,Dicle,[],0,['ATV            (2007) (Turkey) (TV)'],0.0,1.1798333570445247,-0.16919731572757946,-0.8205361775431148,-0.030323662089090764,4.663679199724412,7.87990043884354,1,0,0,1
443,Zeliha'nin Gözleri,[],0,['Star TV            (2007) (Turkey) (TV)'],0.0,0.4700955581943593,-0.16919731572757946,-0.9651152918484712,0.7552011666028267,5.956818276932419,2.2344883453304942,1,0,0,2
444,Büyümüs de küçülmüs,[],0,['Kanal D            (2003) (Turkey) (TV)'],0.0,1.166717853661873,-0.23635927700934245,-0.7686719138274289,0.35744134837165364,6.598579112863242,4.597631851592044,1,0,0,1
445,Ayrilik,[],0,['Turkish Radio & Television (TRT)            (2009) (Turkey) (TV)'],0.0,0.007783174833675499,4.332468679818783,1.3327622184518524,-0.1186863334848075,3.4153287655246443,7.87990043884354,1,0,0,2
446,Fedai,[],0,"['Star TV            (2007) (Turkey) (TV)', 'Vizyon            (2007) (Turkey) (TV)']",0.0,0.0,-0.6124870893396603,-1.0852461520603964,0.0,5.222844606055723,7.87990043884354,1,0,0,1
